key,en,zh-Hans,zh-Hant,ja-JP,ko-KR,ms-MY,th-TH,vi-VN,hi-IN,de-DE,fr-FR,pt-PT,es-ES,it-IT,nl-NL,no-NO,sv-SE,ro-RO,cs-CZ
uploadIdPhotosPrompt,Please upload photos of the front and back of your ID,请上传身份证正反面照片,請上傳身份證正反面照片,IDの表と裏の写真をアップロードしてください,ID 앞면과 뒷면 사진을 업로드해 주세요,Sila muat naik foto depan dan belakang ID anda,กรุณาอัปโหลดรูปภาพด้านหน้าและด้านหลังของบัตรประจำตัวของคุณ,Vui lòng tải lên ảnh mặt trước và mặt sau của ID của bạn,कृपया अपने आईडी के आगे और पीछे की तस्वीरें अपलोड करें,Bitte laden Sie Fotos der Vorder- und Rückseite Ihres Ausweises hoch,Veuillez télécharger les photos recto et verso de votre pièce d'identité,Por favor carregue fotos da frente e do verso do seu ID,Por favor cargue fotos del frente y dorso de su ID,Carica le foto fronte e retro del tuo ID,Upload voor- en achterkant van uw ID,Last opp for- og bakside av ID,Ladda upp fram- och baksida av ID,Încărcați fața și verso-ul actului de identitate,Nahrajte přední a zadní stranu průkazu totožnosti
clarityNote,Please ensure clarity as much as possible,请尽量确保清晰度,請盡量確保清晰度,可能な限り鮮明にしてください,가능한 한 선명하게 해 주세요,Sila pastikan kejelasan sebanyak mungkin,กรุณาระมัดระวังให้ภาพมีความชัดเจนที่สุด,Vui lòng đảm bảo độ rõ nét nhất có thể,कृपया यथासंभव स्पष्टता सुनिश्चित करें,Bitte stellen Sie so viel Klarheit wie möglich sicher,Veuillez assurer la clarté autant que possible,Por favor garanta a máxima clareza possível,Por favor asegure la claridad tanto como sea posible,Assicura la massima chiarezza possibile,Zorg voor duidelijkheid,Sørg for tydelighet,Försök att säkerställa tydlighet,Asigurați claritatea,Zajistěte prosím čitelnost
uploadHoldingIdPrompt,Please upload a photo holding your ID,请上传手持身份证照片,請上傳手持身份證照片,IDを持った写真をアップロードしてください,ID를 들고 있는 사진을 업로드해 주세요,Sila muat naik foto memegang ID anda,กรุณาอัปโหลดรูปภาพที่ถือบัตรประจำตัว,Vui lòng tải lên ảnh cầm ID của bạn,कृपया अपने आईडी को पकड़े हुए एक फोटो अपलोड करें,"Bitte laden Sie ein Foto hoch, auf dem Sie Ihren Ausweis halten",Veuillez télécharger une photo de vous tenant votre pièce d'identité,Por favor carregue uma foto a segurar o seu ID,Por favor cargue una foto sosteniendo su ID,Carica una foto in cui tieni il tuo ID,Upload een foto met ID in de hand,Last opp bilde av deg som holder ID,Ladda upp en bild där du håller ditt ID,Încărcați o poză ținând actul de identitate în mână,Nahrajte fotografii s občankou v ruce
nextButtonText,Next,下一步,下一步,次へ,다음,Seterusnya,ต่อไป,Tiếp theo,अगला,Weiter,Suivant,Seguinte,Siguiente,Avanti,Volgende stap,Neste steg,Nästa steg,Pasul următor,Další krok
previousButtonText,Previous,上一步,上一步,前へ,이전,Sebelumnya,ย้อนกลับ,Trước đó,पिछला,Zurück,Précédent,Anterior,Anterior,Precedente,Vorige stap,Forrige steg,Föregående steg,Pasul anterior,Předchozí krok
billingAddressLabel,Billing Address,账单地址,賬單地址,請求先住所,청구 주소,Alamat bil,ที่อยู่ใบแจ้งหนี้,Địa chỉ thanh toán,बिलिंग पता,Rechnungsadresse,Adresse de facturation,Morada de faturação,Dirección de facturación,Indirizzo di fatturazione,Factuuradres,Fakturaadresse,Faktureringsadress,Adresă de facturare,Fakturační adresa
billingAddressPlaceholder,Please enter your billing address,请输入您的账单地址,請輸入您的賬單地址,請求先住所を入力してください,청구 주소를 입력해 주세요,Sila masukkan alamat bil anda,กรุณากรอกที่อยู่ใบแจ้งหนี้ของคุณ,Vui lòng nhập địa chỉ thanh toán của bạn,कृपया अपना बिलिंग पता दर्ज करें,Bitte geben Sie Ihre Rechnungsadresse ein,Veuillez saisir votre adresse de facturation,Por favor insira a sua morada de faturação,Por favor ingrese su dirección de facturación,Inserisci il tuo indirizzo di fatturazione,Voer uw factuuradres in,Skriv inn fakturaadressen,Ange din faktureringsadress,Introduceți adresa de facturare,Zadejte svou fakturační adresu
cardTypeLabel,Card Type,卡片类型,卡片類型,カードタイプ,카드 유형,Jenis Kad,ประเภทบัตร,Loại thẻ,कार्ड प्रकार,Kartentyp,Type de carte,Tipo de Cartão,Tipo de tarjeta,Tipo di Carta,Kaarttype,Korttype,Korttyp,Tipul cardului,Typ karty
currencyPlaceholder,Please select your currency,请选择您的货币,請選擇您的貨幣,通貨を選択してください,통화를 선택해 주세요,Sila pilih mata wang anda,กรุณาเลือกสกุลเงินของคุณ,Vui lòng chọn loại tiền tệ của bạn,कृपया अपनी मुद्रा चुनें,Bitte wählen Sie Ihre Währung,Veuillez sélectionner votre devise,Por favor selecione a sua moeda,Por favor seleccione su moneda,Seleziona la tua valuta,Kies uw valuta,Velg din valuta,Välj din valuta,Alegeți moneda,Vyberte svou měnu
currencyLabel,Currency,货币,貨幣,通貨,통화,Mata wang,สกุลเงิน,Tiền tệ,मुद्रा,Währung,Devise,Moeda,Moneda,Valuta,Valuta,Valuta,Valuta,Monedă,Měna
cardTypePlaceholder,Please select your card type,请选择您的卡片类型,請選擇您的卡片類型,カードタイプを選択してください,카드 유형을 선택해 주세요,Sila pilih jenis kad anda,กรุณาเลือกประเภทบัตรของคุณ,Vui lòng chọn loại thẻ của bạn,कृपया अपना कार्ड प्रकार चुनें,Bitte wählen Sie Ihren Kartentyp,Veuillez sélectionner votre type de carte,Por favor selecione o tipo de cartão,Por favor seleccione su tipo de tarjeta,Seleziona il tipo di carta,Kies uw kaarttype,Velg korttype,Välj korttyp,Alegeți tipul de card,Vyberte typ karty
completionNote,Fill in the relevant information to complete the U Card application. You will be notified of the result via email.,填写相关信息以完成U卡申请。结果将通过电子邮件通知您。,填寫相關信息以完成U卡申請。結果將通過電子郵件通知您。,関連情報を入力してUカード申込を完了させてください。結果はメールで通知されます。,관련 정보를 입력하여 U 카드 신청을 완료하세요. 결과는 이메일로 알려드립니다.,Isi maklumat berkaitan untuk melengkapkan permohonan Kad U. Anda akan dimaklumkan tentang hasil melalui e-mel.,กรอกข้อมูลที่เกี่ยวข้องเพื่อเสร็จการสมัครบัตร U คุณจะได้รับแจ้งผลทางอีเมล,Điền thông tin liên quan để hoàn tất đăng ký Thẻ U. Bạn sẽ được thông báo kết quả qua email.,यू कार्ड आवेदन पूरा करने के लिए relevant जानकारी भरें। आपको परिणाम की सूचना ईमेल के माध्यम से दी जाएगी।,"Füllen Sie die relevanten Informationen aus, um den U-Karte Antrag abzuschließen. Sie werden per E-Mail über das Ergebnis benachrichtigt.",Remplissez les informations pertinentes pour compléter la demande de Carte U. Vous serez notified du résultat par e-mail.,Preencha a informação relevante para completar a candidatura a Cartão U. Será notificado do resultado via email.,Complete la información relevante para finalizar la solicitud de Tarjeta U. Será notified del resultado por correo electrónico.,Compila le informazioni relevanti per completare la candidatura alla Carta U. Sarai notified del risultato via email.,Vul de vereiste gegevens in om de aanvraag van de U-kaart te voltooien. U ontvangt een e-mail met het resultaat.,Fyll inn nødvendige opplysninger for å fullføre søknaden om U-kort. Du vil få svar på e-post.,Fyll i den nödvändiga informationen för att slutföra din U-kortansökan. Du meddelas via e-post.,Completați informațiile necesare pentru a finaliza cererea pentru cardul U. Veți fi notificat prin e-mail.,Vyplňte potřebné údaje k dokončení žádosti o U kartu. Výsledek vám bude zaslán e-mailem.
stepsSummary,Applying for a U Card requires only three steps: fill in the information → upload your ID → submit for review,申请U卡仅需三步：填写信息 → 上传身份证 → 提交审核,申請U卡僅需三步：填寫信息 → 上傳身份證 → 提交審核,Uカードの申込は3ステップのみ：情報入力 → IDアップロード → 審査提出,U 카드 신청은 세 단계만 필요: 정보 입력 → ID 업로드 → 검토 제출,Memohon Kad U hanya memerlukan tiga langkah: isi maklumat → muat naik ID → serah untuk semakan,การสมัครบัตร U ต้องการเพียงสามขั้นตอน: กรอกข้อมูล → อัปโหลดบัตรประจำตัว → ส่งเพื่อตรวจสอบ,Đăng ký Thẻ U chỉ cần ba bước: điền thông tin → tải lên ID → gửi để xem xét,यू कार्ड के लिए आवेदन करने में केवल तीन चरणों की आवश्यकता होती है: जानकारी भरें → अपना आईडी अपलोड करें → समीक्षा के लिए जमा करें,Die Beantragung einer U-Karte erfordert nur drei Schritte: Informationen ausfüllen → ID hochladen → zur Überprüfung einreichen,Demander une Carte U ne nécessite que trois étapes : remplir les informations → télécharger votre ID → soumettre pour examen,Candidatar-se a um Cartão U requer apenas três passos: preencher a informação → carregar o seu ID → submeter para revisão,Solicitar una Tarjeta U requiere solo tres pasos: completar la información → cargar su ID → enviar para revisión,Candidarsi per una Carta U richiede solo tre passi: compila le informazioni → carica il tuo ID → invia per revisione,Slechts drie stappen om een U-kaart aan te vragen: informatie invullen → ID uploaden → indienen voor beoordeling,Kun tre trinn for å søke om U-kort: Fyll inn info → Last opp ID → Send inn,Endast tre steg för att ansöka om U-kort: Fyll i info → Ladda upp ID → Skicka in,Doar trei pași pentru a aplica pentru cardul U: completați informații → încărcați actul de identitate → trimiteți pentru aprobare,Pouhé tři kroky k podání žádosti o U kartu: vyplňte informace → nahrajte doklad totožnosti → odešlete ke kontrole
累计转出,Cumulative Withdrawals,累计转出,累计转出,累計轉出,누적 출금,Pengeluaran Terkumpul,ยอดถอนสะสม,Tổng số đã rút,कुल निकासी,Gesamtauszahlungen,Retraits cumulés,Saques acumulados,Retiros acumulados,,Totaal overgemaakt,Totalt overført,Totalt överfört,Suma totală transferată,Celkem převedeno
transaction_TRANSFER,Transfer,转账,轉帳,送金,이체,Pindahan,โอน,Chuyển,ट्रांसफर,Überweisung,Virement,Transferir,Transferencia,Trasferimento,Transfer,Transfer,Transfer,Transfer,Transfer
uploadIdPhoto,Please upload ID photo,请上传证件照,請上傳證件照,証明写真をアップロードしてください,신분증 사진을 업로드해 주세요,Sila muat naik foto kad pengenalan,กรุณาอัปโหลดรูปถ่ายบัตรประจำตัว,Vui lòng tải lên ảnh chứng minh thư,कृपया पहचान पत्र की फोटो अपलोड करें,Bitte laden Sie ein Ausweisfoto hoch,Veuillez télécharger une photo de pièce d'identité,Por favor carregue foto do documento,Por favor suba una foto de identificación,Si prega di caricare la foto del documento,Upload identiteitsfoto,Last opp ID-bilde,Ladda upp ID-foto,Încărcați o fotografie de identificare,Nahrajte průkazovou fotografii
uploadSelfieWithId,Please upload a selfie holding your ID,请上传手持证件自拍,請上傳手持證件自拍,身分証を持った自撮り写真をアップロードしてください,신분증을 들고 있는 셀카를 업로드해 주세요,Sila muat naik selfie memegang kad pengenalan,กรุณาอัปโหลดรูปเซลฟี่พร้อมบัตรประจำตัว,Vui lòng tải lên ảnh selfie cầm chứng minh thư,कृपया अपना पहचान पत्र पकड़े हुए सेल्फी अपलोड करें,Bitte laden Sie ein Selfie mit Ihrem Ausweis hoch,Veuillez télécharger un selfie avec votre pièce d'identité,Por favor carregue uma selfie a segurar o seu documento,Por favor suba un selfie sosteniendo su identificación,Si prega di caricare un selfie con il documento in mano,Upload selfie met ID in hand,Last opp selfie med ID i hånden,Ladda upp en selfie där du håller ID,Încărcați un selfie ținând actul de identitate,Nahrajte selfie s občankou v ruce
transfer_amount,Amount,数量,數量,数量,수량,Kuantiti,จำนวน,Số lượng,मात्रा,Menge,Quantité,Quantia,Cantidad,Quantità,Amount,Amount,Amount,Amount,Amount
DepositintoSmartYieldWallet,Deposit into Smart Yield Wallet,Smart yield wallet 转入,Smart yield wallet 轉入,Smart Yield Wallet に入金する,Smart Yield Wallet로 입금,Deposit ke Smart Yield Wallet,ฝากเข้า Smart Yield Wallet,Nạp vào Smart Yield Wallet,Smart Yield Wallet में जमा करें,Einzahlung in Smart Yield Wallet,Dépôt dans le Smart Yield Wallet,Depositar no Smart Yield Wallet,Depositar en Smart Yield Wallet,,Invoer naar Smart Yield Wallet,Overføring til Smart Yield Wallet,Insättning till Smart Yield Wallet,Transfer către Smart Yield Wallet,Vklad do Smart Yield Wallet
withdrawFromSmartWallet,Withdraw from Smart Yield Wallet,Smart yield wallet 转出,Smart yield wallet 轉出,Smart Yield Wallet から出金する,Smart Yield Wallet에서 출금,Keluarkan dari Smart Yield Wallet,ถอนออกจาก Smart Yield Wallet,Rút từ Smart Yield Wallet,Smart Yield Wallet से निकासी करें,Auszahlung aus Smart Yield Wallet,Retrait du Smart Yield Wallet Le retrait du Smart Yield Wallet,Retirar do Smart Yield Wallet,Retirar de Smart Yield Wallet,,Uitvoer van Smart Yield Wallet,Uttak fra Smart Yield Wallet,Uttag från Smart Yield Wallet,Retragere din Smart Yield Wallet,Výběr ze Smart Yield Wallet
globalActivityCenter,9M AI Global Activity Center,9M AI 全球活动中心,9M AI 全球活動中心,9M AI グローバル活動センター,9M AI 글로벌 활동 센터,Pusat Aktiviti Global 9M AI,ศูนย์กิจกรรมทั่วโลก 9M AI,Trung tâm Hoạt động Toàn cầu 9M AI,9M AI वैश्विक गतिविधि केंद्र,9M AI Globales Aktivitätszentrum,Centre d'Activité Mondial 9M AI,Centro de Atividade Global 9M AI,Centro de Actividad Global 9M AI,Centro Attività Globale 9M AI,9M AI Wereldwijde Activiteitscentrum,9M AI Globale Aktivitetsenter,9M AI Globala Aktivitetscenter,9M AI Centru Global de Activități,9M AI Globální centrum aktivit
offlineCentersIntro,"To better serve our global users, 9M AI is establishing offline activity centers in multiple cities around the world.",为更好地服务全球用户，9M AI 正在全球多个城市建立线下活动中心。,為更好地服務全球用戶，9M AI 正在全球多個城市建立線下活動中心。,世界中のユーザーにより良くサービスを提供するため、9M AIは世界中の複数の都市にオフライン活動センターを設立しています。,"전 세계 사용자에게 더 나은 서비스를 제공하기 위해, 9M AI는 전 세계 여러 도시에 오프라인 활동 센터를 설립하고 있습니다.","Untuk berkhidmat lebih baik kepada pengguna global, 9M AI menubuhkan pusat aktiviti luar talian di pelbagai bandar di seluruh dunia.",เพื่อบริการผู้ใช้ทั่วโลกได้ดีขึ้น 9M AI กำลังจัดตั้งศูนย์กิจกรรมนอกสายในหลายเมืองทั่วโลก,"Để phục vụ người dùng toàn cầu tốt hơn, 9M AI đang thành lập các trung tâm hoạt động ngoại tuyến tại nhiều thành phố trên thế giới.","वैश्विक उपयोगकर्ताओं को बेहतर सेवा प्रदान करने के लिए, 9M AI दुनिया के कई शहरों में ऑफलाइन गतिविधि केंद्र स्थापित कर रहा है।","Um unseren globalen Nutzern besser zu dienen, richtet 9M AI Offline-Aktivitätszentren in mehreren Städten weltweit ein.","Pour mieux servir nos utilisateurs mondiaux, 9M AI établit des centres d'activité hors ligne dans plusieurs villes à travers le monde.","Para melhor servir os nossos utilizadores globais, a 9M AI está a estabelecer centros de atividade offline em múltiplas cidades à volta do mundo.","Para servir mejor a nuestros usuarios globales, 9M AI está estableciendo centros de actividad offline en múltiples ciudades alrededor del mundo.","Per servire meglio i nostri utenti globali, 9M AI sta istituendo centri di attività offline in più città in tutto il mondo.","Om wereldwijd betere service te bieden, bouwt 9M AI fysieke activiteitscentra in meerdere steden.","For å betjene brukere bedre globalt, etablerer 9M AI fysiske aktivitetssteder i flere byer.",För att bättre betjäna globala användare bygger 9M AI fysiska aktivitetscenter i flera städer.,"Pentru a deservi mai bine utilizatorii globali, 9M AI înființează centre de activități în mai multe orașe.","Aby lépe sloužila globálním uživatelům, buduje 9M AI fyzická centra aktivit v různých městech."
centersPurpose,"These centers are not only our frontier for reaching users and connecting with local communities, but also serve as crucial platforms for education, training, communication, and collaboration.",这些中心不仅是我们触达用户、连接本地社区的前沿，更是开展教育、培训、交流与合作的重要平台。,這些中心不僅是我們觸達用戶、連接本地社區的前沿，更是開展教育、培訓、交流與合作的重要平台。,これらのセンターは、ユーザーにリーチし地域コミュニティと繋がるための最前線であるだけでなく、教育、トレーニング、交流、協力のための重要なプラットフォームとして機能します。,"이 센터들은 사용자에 도달하고 현지 커뮤니티와 연결하기 위한 최전선일 뿐만 아니라, 교육, 훈련, 커뮤니케이션 및 협력을 위한 중요한 플랫폼 역할을 합니다.","Pusat ini bukan sahaja frontier kami untuk mencapai pengguna dan berhubung dengan komuniti tempatan, tetapi juga berfungsi sebagai platform penting untuk pendidikan, latihan, komunikasi, dan kerjasama.",ศูนย์เหล่านี้ไม่เพียงเป็นแนวหน้าสำหรับการเข้าถึงผู้ใช้และการเชื่อมต่อกับชุมชนท้องถิ่น แต่ยังทำหน้าที่เป็นแพลตฟอร์มสำคัญสำหรับการศึกษา การฝึกอบรม การสื่อสาร และการทำงานร่วมกัน,"Các trung tâm này không chỉ là tiền tuyến để chúng tôi tiếp cận người dùng và kết nối với cộng đồng địa phương, mà còn là nền tảng quan trọng cho giáo dục, đào tạo, giao tiếp và hợp tác.","ये केंद्र न केवल उपयोगकर्ताओं तक पहुंचने और स्थानीय समुदायों से जुड़ने के लिए我们的 अग्रिम मोर्चा हैं, बल्कि शिक्षा, प्रशिक्षण, संचार और सहयोग के लिए महत्वपूर्ण प्लेटफॉर्म के रूप में भी कार्य करते हैं।","Diese Zentren sind nicht nur unsere Front zur Erreichung von Nutzern und Verbindung mit lokalen Gemeinschaften, sondern dienen auch als entscheidende Plattformen für Bildung, Training, Kommunikation und Zusammenarbeit.","Ces centres sont non seulement notre frontière pour atteindre les utilisateurs et nous connecter avec les communautés locales, mais servent également de plateformes cruciales pour l'éducation, la formation, la communication et la collaboration.","Estes centros não são apenas a nossa fronteira para alcançar utilizadores e conectar com as comunidades locais, mas também servem como plataformas cruciais para educação, formação, comunicação e colaboração.","Estos centros no solo son nuestra frontera para llegar a los usuarios y conectar con las comunidades locales, sino que también sirven como plataformas cruciales para la educación, formación, comunicación y colaboración.","Questi centri non sono solo la nostra frontiera per raggiungere gli utenti e connetterci con le comunità locali, ma servono anche come piattaforme cruciali per l'educazione, la formazione, la comunicazione e la collaborazione.","Deze centra zijn niet alleen bruggen naar gebruikers en gemeenschappen, maar ook platforms voor educatie en samenwerking.","Disse sentrene er ikke bare broen til brukere og lokalsamfunn, men også plattformer for utdanning og samarbeid.","Dessa center fungerar inte bara som en brygga till användare och samhällen, utan också som plattformar för utbildning och samarbete.","Aceste centre sunt nu doar punți către utilizatori și comunități locale, ci și platforme pentru educație și colaborare.","Tato centra nejsou jen mostem k uživatelům a komunitám, ale také platformou pro vzdělávání a spolupráci."
futureFintechBelief,We firmly believe that the future of fintech lies not only in online spaces but also in the warmth and trust of offline communities.,我们坚信，金融科技的未来不仅存在于线上空间，也存在于线下社区的温暖与信任之中。,我們堅信，金融科技的未來不僅存在於線上空間，也存在於線下社區的溫暖與信任之中。,私たちは、フィンテックの未来がオンライン空間だけにあるのではなく、オフラインコミュニティの温かさと信頼の中にもあると確信しています。,우리는 핀테크의 미래가 온라인 공간에만 있는 것이 아니라 오프라인 커뮤니티의 따뜻함과 신뢰에도 있다고 굳게 믿습니다.,Kami percaya tegas bahawa masa depan fintech bukan hanya terletak di ruang dalam talian tetapi juga dalam kehangatan dan kepercayaan komuniti luar talian.,เราเชื่ออย่างแน่ว่าอนาคตของฟินเทคไม่ได้อยู่เพียงในพื้นที่ออนไลน์ แต่ยังอยู่ในความอบอุ่นและความไว้วางใจของชุมชนออฟไลน์,Chúng tôi tin chắc rằng tương lai của fintech không chỉ nằm ở không gian trực tuyến mà còn ở sự ấm áp và tin cậy của cộng đồng ngoại tuyến.,"हम दृढ़ता से मानते हैं कि फिनटेक का भविष्य न केवल ऑनलाइन स्थानों में निहित है, बल्कि ऑफलाइन समुदायों की गर्मजोशी और विश्वास में भी है।","Wir glauben fest daran, dass die Zukunft von Fintech nicht nur in Online-Räumen liegt, sondern auch in der Wärme und dem Vertrauen von Offline-Gemeinschaften.",Nous croyons fermement que l'avenir de la fintech réside non seulement dans les espaces en ligne mais aussi dans la chaleur et la confiance des communautés hors ligne.,"Acreditamos firmemente que o futuro da fintech reside não apenas em espaços online, mas também no calor e confiança das comunidades offline.",Creemos firmemente que el futuro de la fintech reside no solo en los espacios online sino también en la calidez y confianza de las comunidades offline.,"Crediamo fermamente che il futuro della fintech risieda non solo negli spazi online, ma anche nel calore e nella fiducia delle comunità offline.",Wij geloven dat de toekomst van fintech zowel online als in de warmte en het vertrouwen van fysieke gemeenschappen ligt.,Vi tror at fremtiden for fintech finnes både online og i den varme tilliten i fysiske fellesskap.,Vi tror att fintechs framtid finns både online och i den varma tilliten i fysiska samhällen.,"Credem cu tărie că viitorul fintech-ului există atât online, cât și în căldura și încrederea comunităților offline.","Věříme, že budoucnost fintechu je nejen online, ale také v důvěře a teple offline komunit."
globalStudioDistribution,Global studio distribution,全球工作室分布,全球工作室分佈,グローバルスタジオ分布,글로벌 스튜디오 분포,Pengagihan studio global,การกระจายสตูดิโอทั่วโลก,Phân phối studio toàn cầu,वैश्विक स्टूडियो वितरण,Globale Studioverteilung,Distribution de studio mondial,Distribuição de estúdio global,Distribución de estudio global,Distribuzione studio globale,Wereldwijde studioverdeling,Globalt studiokart,Global studiofördelning,Distribuția globală a studiourilor,Globální rozložení studií
underConstruction,Under Construction,建设中,建設中,建設中,건설 중,Dalam Pembinaan,กำลังก่อสร้าง,Đang Xây dựng,निर्माणाधीन,Im Bau,En Construction,Em Construção,En Construcción,In Costruzione,In aanbouw,Under bygging,Under konstruktion,În construcție,Ve výstavbě
partnershipProgress,We have already established preliminary contacts with several local partners and will gradually start setting up activity centers and launching local projects in the future.,我们已与数家本地伙伴初步建立联系，未来将逐步启动活动中心的建设与本地项目的开展。,我們已與數家本地夥伴初步建立聯繫，未來將逐步啟動活動中心的建設與本地項目的開展。,私たちはすでにいくつかの現地パートナーと予備的な接触を確立しており、今後、活動センターの設置と現地プロジェクトの立ち上げを段階的に開始する予定です。,"우리는 이미 여러 현지 파트너들과 예비 접촉을 수립했으며, 향후 활동 센터 설정과 현지 프로젝트 발족을 점차적으로 시작할 것입니다.",Kami telah menjalinkan hubungan awal dengan beberapa rakan kongsi tempatan dan akan beransur-ansur mula menubuhkan pusat aktiviti dan melancarkan projek tempatan pada masa hadapan.,เราได้สร้างการติดต่อเบื้องต้นกับพันธมิตรท้องถิ่นหลายแห่งและจะเริ่มจัดตั้งศูนย์กิจกรรมและเปิดตัวโครงการท้องถิ่นอย่างค่อยเป็นค่อยไปในอนาคต,Chúng tôi đã thiết lập liên hệ sơ bộ với một số đối tác địa phương và sẽ dần dần bắt đầu thiết lập trung tâm hoạt động và triển khai các dự án địa phương trong tương lai.,हमने पहले ही कई स्थानीय भागीदारों के साथ प्रारंभिक संपर्क स्थापित कर लिए हैं और भविष्य में धीरे-धीरे गतिविधि केंद्र स्थापित करना और स्थानीय परियोजनाएं शुरू करना आरंभ करेंगे।,"Wir haben bereits vorläufige Kontakte mit mehreren lokalen Partnern geknüpft und werden schrittweise damit beginnen, Aktivitätszentren einzurichten und lokale Projekte in der Zukunft zu starten.",Nous avons déjà établi des contacts préliminaires avec plusieurs partenaires locaux et commencerons progressivement à mettre en place des centres d'activité et à lancer des projets locaux à l'avenir.,Já estabelecemos contactos preliminares com vários parceiros locais e iremos gradualmente começar a configurar centros de atividade e lançar projetos locais no futuro.,Ya hemos establecido contactos preliminares con varios socios locales y comenzaremos gradualmente a establecer centros de actividad y lanzar proyectos locales en el futuro.,Abbiamo già stabilito contatti preliminari con diversi partner locali e inizieremo gradualmente a impostare centri di attività e lanciare progetti locali in futuro.,We hebben al contact gelegd met lokale partners en zullen geleidelijk starten met de bouw en uitvoering van projecten.,Vi har allerede kontaktet lokale partnere og vil gradvis starte bygging og prosjekter.,Vi har redan etablerat kontakt med lokala partners och kommer gradvis att inleda byggnation och projekt.,Am stabilit deja contacte cu parteneri locali și vom începe treptat construcția și proiectele locale.,Již jsme navázali kontakt s místními partnery a postupně zahájíme výstavbu a místní projekty.
signUpForEvent,Sign up for an event,报名活动,報名活動,イベントに申し込む,이벤트 신청,Daftar untuk acara,ลงทะเบียนเข้าร่วมกิจกรรม,Đăng ký sự kiện,किसी इवेंट के लिए साइन अप करें,Für eine Veranstaltung anmelden,S'inscrire à un événement,Inscrever-se num evento,Inscribirse para un evento,Iscriviti per un evento,Meld je aan voor activiteiten,Meld deg på arrangementer,Registrera dig för aktiviteter,Înscrie-te la activități,Zaregistrujte se na aktivity
meetingMinutes,Meeting minutes,会议纪要,會議紀要,会議議事録,회의록,Minit mesyuarat,รายงานการประชุม,Biên bản cuộc họp,बैठक के मिनट,Sitzungsprotokoll,Procès-verbal de réunion,Acta da reunião,Acta de la reunión,Verbale della riunione,Notulen,Møtereferat,Mötesprotokoll,Proces-verbal al întâlnirii,Zápis ze schůzky
establishmentTime,Establishment Time,成立时间,成立時間,設立時間,설립 시간,Masa Penubuhan,เวลาก่อตั้ง,Thời gian Thành lập,स्थापना समय,Gründungszeit,Date de Création,Tempo de Estabelecimento,Tiempo de Establecimiento,Tempo di Istituzione,Oprichtingsdatum,Etableringsdato,Grundandedatum,Data înființării,Datum založení
meeting,Meeting,会议,會議,会議,회의,Mesyuarat,การประชุม,Cuộc họp,बैठक,Sitzung,Réunion,Reunião,Reunión,Riunione,Vergadering,Møte,Möte,Întâlnire,Schůze
liveVideo,Live video,现场视频,現場影片,ライブ動画,라이브 영상,Video langsung,วิดีโอถ่ายทอดสด,Video trực tiếp,लाइव वीडियो,Live-Video,Vidéo en direct,Vídeo em direto,Video en vivo,Video live,Live video,Livevideo,Livevideo,Video live,Živé video
onSitePhotos,On-site photos,现场照片,現場照片,現場写真,현장 사진,Gambar di tapak,รูปภาพหน้างาน,Ảnh tại hiện trường,साइट की तस्वीरें,Fotos vor Ort,Photos sur site,Fotos no local,Fotos en el sitio,Foto sul posto,Live foto’s,Live bilder,Livefoton,Fotografii live,Fotografie z místa
seeMore,See more,查看更多,查看更多,もっと見る,더보기,Lihat lagi,ดูเพิ่มเติม,Xem thêm,और देखें,Mehr anzeigen,Voir plus,Ver mais,Ver más,Vedi altro,See more,See more,See more,See more,See more
journey,9M journey,9M旅程,9M旅程,9Mの旅,9M 여정,Perjalanan 9M,การเดินทางของ 9M,Hành trình 9M,9M की यात्रा,9M Reise,Parcours 9M,Jornada 9M,Viaje 9M,Viaggio 9M,9M journey,9M journey,9M journey,9M journey,9M journey
mainHeading,"Global Wisdom, AI-Driven — 9M AI Conquers New Heights in Global Finance",全球智慧，AI驱动——9M AI征服全球金融新高度,全球智慧，AI驅動——9M AI征服全球金融新高度,グローバルな知恵、AI駆動 — 9M AIが世界金融の新たな高みを征服,"글로벌 지혜, AI 주도 — 9M AI, 글로벌 금융의 새로운 높이를 정복하다","Kebijaksanaan Global, Didorong AI — 9M AI Menakluki Pencapaian Baru dalam Kewangan Global",ปัญญาระดับโลก ขับเคลื่อนด้วย AI — 9M AI พิชิตความสูงใหม่ในวงการการเงินโลก,"Trí tuệ Toàn cầu, AI Dẫn dắt — 9M AI Chinh phục Tầm cao Mới trong Tài chính Toàn cầu","वैश्विक ज्ञान, एआई-संचालित — 9M AI वैश्विक वित्त में नई ऊंचाइयों को फतह करता है","Globale Weisheit, KI-gesteuert — 9M AI erobert neue Höhen in der globalen Finanzwelt","Sagesse Mondiale, Pilotée par l'IA — 9M AI Conquiert de Nouveaux Sommets dans la Finance Mondiale","Sabedoria Global, Orientada por IA — 9M AI Conquista Novos Patamares nas Finanças Globais","Sabiduría Global, Impulsada por IA — 9M AI Conquista Nuevas Alturas en las Finanzas Globales","Saggezza Globale, Guidata dall'IA — 9M AI Conquista Nuove Vette nella Finanza Globale","Global Wisdom, AI-Driven — 9M AI Conquers New Heights in Global Finance","Global Wisdom, AI-Driven — 9M AI Conquers New Heights in Global Finance","Global Wisdom, AI-Driven — 9M AI Conquers New Heights in Global Finance","Global Wisdom, AI-Driven — 9M AI Conquers New Heights in Global Finance","Global Wisdom, AI-Driven — 9M AI Conquers New Heights in Global Finance"
